Item,Description,Type,Lot No.,Exp Date,Cost,Quantity On Hand,Quantity On Sales Order,Quantity On Purchase Order,U/M
"Render Products:Render Reagents:NCP(STG10501-95-1, 2024-09-24)",Render NCP 1ml - EXPIRED,Inventory Part,STG10501-95-1 - EXPIRED,2024-09-24, 234.00 ,10.00,0.00,0.00,vial (vial)
"Render Products:Render Reagents:Nonfer (23101201, 2024-10-11)",Render Nonfermenters ID&AST 10T,Inventory Part,23101201 - EXPIRED,2024-10-11," 41,600.00 ",4.00,0.00,0.00,Set (set)
"Render Products:Render Reagents:Nonfer (23121401, 2024-12-13)",Render Nonfermenters ID&AST kit,Inventory Part,23121401 - EXPIRED,2024-12-13, 0.00 ,5.00,0.00,0.00,Set (set)
"Render Products:Render Reagents:Nonfer (24030903, 2025-03-08)",Render Nonfermenters ID&AST kit,Inventory Part,24030903 - EXPIRED,2025-03-08," 2,080.00 ",1.00,0.00,0.00,Set (set)
"Render Products:Render Reagents:Nonfer (24102301, 2025-10-22)",Render Nonfermenters ID&AST kit,Inventory Part,24102301,2025-10-22," 2,240.00 ",1.00,0.00,0.00,Set (set)
"Render Products:Render Reagents:Pedia (24122901, 2025-12-28)",Render Pedia Culture Bottle,Inventory Part,24122901,2025-12-28, 108.50 ,267.00,0.00,0.00,bottle (bottle)
"Render Products:Render Reagents:PT (STY20101-76-1, 2026-01-14)",Render PT 10x2ml,Inventory Part,STY20101-76-1,2026-01-14, 845.00 ,0.00,0.00,0.00,kit (kit)
"Render Products:Render Reagents:PT (STY20101-89-1,2027-01-01)",Render PT 10x2ml,Inventory Part,STY20101-89-1,2027-01-01, 910.00 ,32.00,0.00,0.00,kit (kit)
"Render Products:Render Reagents:Staph (24062301, 2025-06-22)",Render Staphylococcus ID&AST kit 10T,Inventory Part,24062301,2025-06-22," 2,240.00 ",0.00,0.00,0.00,Set (set)
"Render Products:Render Reagents:Staph (24101301, 2025-10-12)",Render Staphylococcus ID&AST kit 10T,Inventory Part,24101301,2025-10-12," 2,240.00 ",0.00,0.00,0.00,Set (set)
"Render Products:Render Reagents:Strep (23110101, 2024-10-31)",Render Streptococcus/Enterococcus ID&AST 10T,Inventory Part,23110101 - EXPIRED,2024-10-31," 2,080.00 ",13.00,0.00,0.00,Set (set)
"Render Products:Render Reagents:Strep (23120601, 2024-12-05)",Render Streptococcus/Enterococcus kit 10T,Inventory Part,23120601 - EXPIRED,2024-12-05, 0.00 ,9.00,0.00,0.00,Set (set)
"Render Products:Render Reagents:Strep (24030402, 2025-03-03)",Render Streptococcus/Enterococcus ID&AST kit 10T,Inventory Part,24030402 - EXPIRED,2025-03-03," 2,080.00 ",4.00,0.00,0.00,Set (set)
"Render Products:Render Reagents:Strep (24100701, 2025-10-06)",Render Streptococcus/Enterococcus ID&AST kit 10T,Inventory Part,24100701,2025-10-06," 2,240.00 ",0.00,0.00,0.00,Set (set)
Roundfin Products,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
Roundfin Products:Digital Temp,Roundfin Digital Temperature Controller,Inventory Part,,, 0.00 ,3.00,0.00,0.00,pc (pc)
Roundfin Products:Jar/Beaker,Roundfin RD-500 Glass Jar/Beaker 1.3L,Inventory Part,,," 2,600.00 ",2.00,0.00,0.00,pc (pc)
Roundfin Products:Roundfin Equipment,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
Roundfin Products:Roundfin Equipment:RD-1521 (23-7020-4),Roundfin RD-1521 Cadaver Transport with Cover,Inventory Part,23-7020-4,," 63,700.00 ",0.00,0.00,0.00,unit (unit)
Roundfin Products:Roundfin Equipment:RD-1531E (23-7020-3),Roundfin RD-1531E Mortuary Electric Lifter Trolley,Inventory Part,23-7020-3,," 178,750.00 ",0.00,0.00,0.00,unit (unit)
Roundfin Products:Roundfin Equipment:RD-21-7018-1,Roundfin RD-E Mortuary Refrigerator SN:RD-21-7018-1,Inventory Part,,," 227,500.00 ",0.00,0.00,0.00,unit (unit)
Roundfin Products:Roundfin Equipment:RD-2S (23-7020-1),Roundfin RD-2S Mortuary Refrigerator,Inventory Part,23-7020-1,," 162,500.00 ",0.00,0.00,0.00,unit (unit)
Roundfin Products:Roundfin Equipment:RD-2S (23-7020-2),Roundfin RD-2S Mortuary Refrigerator,Inventory Part,23-7020-2,," 162,500.00 ",0.00,0.00,0.00,unit (unit)
Roundfin Products:Roundfin Equipment:RD-495 (36090,Roundfin  RD-495 Rotary Microtome,Inventory Part,36090,, 0.00 ,0.00,0.00,0.00,unit (unit)
Roundfin Products:Roundfin Equipment:RD-495 (36486),Roundfin RD-495 Rotary Microtome,Inventory Part,36486,," 282,750.00 ",0.00,0.00,0.00,unit (unit)
Roundfin Products:Roundfin Equipment:RD-495 (New),Roundfin RD-495 Rotary Microtome,Inventory Part,New,," 304,500.00 ",0.00,0.00,0.00,unit (unit)
Roundfin Products:Roundfin Equipment:RD-495 (RD25-7050-1),Roundfin RD-495 Manual Microtome,Inventory Part,RD25-7050-1,," 304,500.00 ",0.00,0.00,0.00,unit (unit)
Roundfin Products:Roundfin Equipment:RD-495(36091),Roundfin  RD-495 Rotary Microtome (36091),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Roundfin Products:Roundfin Equipment:RD-501 (New),Roundfin RD-501 Tissue Processor with Vacuum,Inventory Part,New,," 392,000.00 ",0.00,0.00,0.00,unit (unit)
Roundfin Products:Roundfin Equipment:RD-501 (RD25-7050-1),Roundfin RD-501 Tissue Processor with Vacuum,Inventory Part,RD25-7050-1,," 392,000.00 ",0.00,0.00,0.00,unit (unit)
Roundfin Products:Roundfin Equipment:RD-501 (TO CHECK SN),Roundfin RD-501 Tissue Processor with Vacuum,Inventory Part,(TO CHECK SN c/o ENGR),," 416,000.00 ",0.00,0.00,0.00,unit (unit)
Roundfin Products:Roundfin Equipment:RD-903 (New),Roundfin RD-903 Grossing Station,Inventory Part,New,," 157,500.00 ",1.00,0.00,0.00,unit (unit)
Roundfin Products:Roundfin Equipment:RD-B (New),Roundfin RD-B Mortuary Freezer,Inventory Part,New,," 119,000.00 ",1.00,0.00,0.00,unit (unit)
Roundfin Products:Roundfin Equipment:RD-BM (A79336),Roundfin RD-BM & BL Tissue Embedding Center,Inventory Part,A79336,," 162,500.00 ",0.00,0.00,0.00,unit (unit)
Roundfin Products:Roundfin Equipment:RD-BM (New),Roundfin RD-BM & BL Tissue Embedding,Inventory Part,New,," 175,000.00 ",0.00,0.00,0.00,unit (unit)
Roundfin Products:Specimen Holder (B),Roundfin RD-2230 Specimen Holder (Big),Inventory Part,,, 0.00 ,3.00,0.00,0.00,pc (pc)
Roundfin Products:Specimen Holder (S),Roundfin RD-2230 Specimen Holder (Small),Inventory Part,,, 0.00 ,3.00,0.00,0.00,pc (pc)
Roundfin Products:Wax Tank,Roundfin RD-500 Wax Tank 1.3L,Inventory Part,,," 6,175.00 ",1.00,0.00,0.00,pc (pc)
S.V Science Product,,Inventory Part,,," 1,800.00 ",1.00,0.00,0.00,
S.V Science Product:19060286,Digisystem Hematocrit Centrifuge model: DSC100MH-2 (19060286),Inventory Part,,," 21,600.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:22120580,Digisystem DSC-1512D Clinical Centrifuge,Inventory Part,22120580,," 31,500.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:22120583,Digisystem DSC-1512D Clinical Centrifuge,Inventory Part,22120583,," 31,500.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:22120586,Digisystem DSC-1512D Clinical Centrifuge,Inventory Part,22120586,," 31,500.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:Battery Ram,Statfax 1904+ Battery Ram - OLD,Inventory Part,,," 7,000.00 ",1.00,0.00,0.00,unit (unit)
S.V Science Product:Benedicts Solution,Benedicts Solution 500ml,Inventory Part,,, 378.00 ,0.00,0.00,0.00,bottle (bottle)
S.V Science Product:Cedanwood,Cedan Wood Oil 250ml,Inventory Part,,, 472.50 ,0.00,0.00,0.00,bottle (bottle)
S.V Science Product:Clay Sealer,Clay Sealer,Inventory Part,,, 126.00 ,0.00,0.00,0.00,pc (pc)
S.V Science Product:Clinical (CT2-21030583),Digisystem DSC-156T Clinical Centrifuge 6 Placer with Timer (CT2-21030583) DR. TENGCO DR18536,Inventory Part,,," 8,910.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:Clinical (CT2-21050573),Digisystem Clinical Centrifuge DSC-156T 6 Placer with Timer (CT2-21050573),Inventory Part,,," 8,910.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:Clinical (CT2-24080786),Digisystem Clinical Centrifuge DSC-156T,Inventory Part,CT2-24080786,," 10,260.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:Clinical (CT2-24080897),Digisystem Clinical Centrifuge DSC-156T,Inventory Part,CT2-24080897,," 11,400.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:Clinical (CTD3-22120638),Digisystem Clinical Centrifuge DSC-1524D,Inventory Part,CTD3-22120638,," 46,500.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:Counting Chamber,LP Neubauer Counting Chamber - TRISTAN TENGCO,Inventory Part,,," 3,500.00 ",0.00,0.00,0.00,pc (pc)
S.V Science Product:Crescent Hema Stain,Hema Stain 500ml,Inventory Part,,," 2,070.00 ",0.00,0.00,0.00,Set (set)
S.V Science Product:CT2-21101414,Digisystem DSC-156C Clinical Centrifuge 6 Placer w/ Timer (CT2-21101414),Inventory Part,,," 11,400.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:DBC-6,Digisystem Differential Cell Counter model: DBC-6,Inventory Part,,," 8,910.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:Digisystem Equipment,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
S.V Science Product:Digisystem Equipment:DSB500 (18060015),"Digisystem Water Bath Model:DSB500, 10L SN:18060015",Inventory Part,,," 18,000.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:Digisystem Equipment:DSC-100MH-2 (MHZ-19110634),Digisystem Hematocrit Centrifuge DSC-100MH-2 SN: MHZ-19110634,Inventory Part,,," 21,600.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:Digisystem Equipment:DSC-156T (19060611),"Digisystem DSC-156T, 6 placer Clinical Centrifuge with timer SN: 19060611",Inventory Part,,," 8,100.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:Digisystem Equipment:DSC-156T (CT2-19091305),"Digisystem DSC-156T, 6 placer Clinical Centrifuge (CT2-19091305)",Inventory Part,,,"7,849.28571",0.00,0.00,0.00,unit (unit)
S.V Science Product:Digisystem Equipment:DSC-156T (CT2-22121651),Digisystem DSC-156T Clinical Centrifuge 6 Placer w/ Timer,Inventory Part,CT2-22121651,," 11,400.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:Digisystem Equipment:DSC-158T,"Digisystem DSC-158T, 8 placer Clinical Centrifuge with timer",Inventory Part,,," 11,000.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:Digisystem Equipment:DSC-158T (CT219070975),"Digisystem DSC-158T, 8 placer Clinical Centrifuge  CT219070975",Inventory Part,,," 9,900.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:Digisystem Equipment:DSC-158T (CTZ-19111834),Digisystem Clinical Centrifuge DSC-158T SN: CTZ-1911834,Inventory Part,,," 10,710.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:Digisystem Equipment:DSC-200T (15030201),"Digisystem DSC-200T Table Top Centrifuge, 6 Placer (15030201)",Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
S.V Science Product:Digisystem Equipment:L450 Clinical Centrifuge,Premiere Model L450 Clinical Centrifuge,Inventory Part,,," 75,000.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:Digisystem Equipment:PS-600T,Digisystem PS-600T Pipette Shaker PSG-19010072),Inventory Part,,," 9,000.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:Digisystem Equipment:PS-600T (PS6-22120099),Digisystem PS-600T Pipette Shaker 6Placer,Inventory Part,,," 10,000.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:Digisystem Equipment:PS-600T (PSG-19110380),Digisystem Pipette Shaker PS-600T SN: PSG-19110380,Inventory Part,,," 9,000.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:Drabkins,Drabkins Reagent Crescent 250ml,Inventory Part,,," 1,620.00 ",0.00,0.00,0.00,bottle (bottle)
S.V Science Product:DSC-100 (23110791),Digisystem DSC-100MH-2 Hematocrit Centrifuge,Inventory Part,23110791,," 25,500.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:DSC-100MH-2 (20120774),Digisystem Hematocrit Centrifuge DSC-100MH-2 (20120774),Inventory Part,,," 19,285.71 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:DSC-100MH-2 (24080466),Digisystem Hematocrit Centrifuge DSC-100MH-2,Inventory Part,24080466,," 25,500.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:DSC-100MH-2(20120759),Digisystem DSC-100MH-2 Hematocrit Centrifuge SN:20120759,Inventory Part,,," 19,285.71 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:DSC-1512 (22120598),Digisystem DSC-1512D Clinical Centrifuge,Inventory Part,22120598,," 31,500.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:DSC-153T(19091226),Digisystem DSC-156T Clinical Centrifuge SN:19091226,Inventory Part,,," 7,955.36 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:DSC-156T (CT2-20040262),Digisystem Clinical Centrifuge DSC-156T 6 Placer w/ Timer (CT2-20040262)- DR PAOLO - DR18821,Inventory Part,,," 6,300.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:DSC-156T (CT2-21101359),Digisystem DSC-156T Clinical Centrifuge 6 Placer w/ Timer (CT2-21101359),Inventory Part,,," 11,400.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:DSC-158T (CT2-21050700),Digisystem DSC-158T Clinical Centrifuge 8Placer w/ Timer (CT2-21050700),Inventory Part,,," 11,900.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:DSC-200T(20040339),Digisystem Clinical Centrifuge DSC-200T (20040339),Inventory Part,,," 7,955.36 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:Glass Slide,Glass Slide,Inventory Part,,, 76.50 ,0.00,0.00,0.00,box (box)
S.V Science Product:Glass Slides,Glass Slides,Inventory Part,,, 90.00 ,0.00,0.00,0.00,unit (unit)
S.V Science Product:HCL,HCL 500ml,Inventory Part,,, 454.00 ,0.00,0.00,0.00,bottle (bottle)
S.V Science Product:Hematocrit (MH2-21050408),Micro Hematocrit Centrifuge 24 Placer with Timer,Inventory Part,,," 21,600.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:Hematocrit (MH2-21100753),Digisystem Hematocrit Centrifuge 24 Placer with timer (MH2-21100753) DR PAOLO - DR18821,Inventory Part,,," 21,600.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:Lugols Iodine,Lugols 120ml,Inventory Part,,, 992.70 ,0.00,0.00,0.00,bottle (bottle)
S.V Science Product:NSS,NSS 500ML,Inventory Part,,, 227.00 ,0.00,0.00,0.00,bottle (bottle)
S.V Science Product:Oil Immersion,Oil Immersion 250ml,Inventory Part,,, 416.25 ,0.00,0.00,0.00,bottle (bottle)
S.V Science Product:PS-600T (PS6-19010115),Pipette Shaker 6 Placer (PS6-19010115),Inventory Part,,," 9,000.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:PS-600T (PS6-19010118),Pipette Shaker 6 Placer (PS6-19010118),Inventory Part,,," 9,000.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:PS-600T (PS6-21100166),Pipette Shaker 6 Placer  (PS6-21100166),Inventory Part,,," 9,000.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:PS-600T (PS6-21100167),Pipette Shaker 6 Placer (PS6-21100167),Inventory Part,,," 9,000.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:PS-600T (PS6-21100168),Pipette Shaker 6 Placer (PS6-21100168),Inventory Part,,," 9,000.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:PS-600T (PS6-21100169),Pipette Shaker 6 Placer (PS6-21100169),Inventory Part,,," 9,000.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:PS-600T(19110375),Digisystem PS-600T Pipette Shaker,Inventory Part,QC HEALTH,," 7,000.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:PS600t (PSG-19010100),Digisystem PS-600T Pipette Shaker 6Placer (PSG-19010100),Inventory Part,,," 10,000.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:RBC Diluting,RBC Diluting Fluid 500ml,Inventory Part,,," 1,159.20 ",0.00,0.00,0.00,bottle (bottle)
S.V Science Product:RBC Pipette,Boeco RBC Pipette,Inventory Part,,, 690.00 ,0.00,0.00,0.00,pc (pc)
S.V Science Product:Reese and Eckers,LP Reese and Eckers 250ml,Inventory Part,,,294.64286,0.00,0.00,0.00,bottle (bottle)
S.V Science Product:Sahli Hemometer,Sahli Hemometer,Inventory Part,,," 3,500.00 ",0.00,0.00,0.00,box (box)
S.V Science Product:Shaker (PSG-19010080),Digisystem Pipette Shaker; PS-600T; 6 Placer (PSG-19010080),Inventory Part,,," 9,000.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:Stirrer 88-I (YCYOW-2370067),Premeire 88-I Hot Plate Stirrer  (YCYOW-2370067),Inventory Part,,," 16,380.00 ",0.00,0.00,0.00,unit (unit)
S.V Science Product:Sulfosalicylic Acid,Sulfosalicylic Acid 250ml,Inventory Part,,," 1,008.00 ",0.00,0.00,0.00,bottle (bottle)
S.V Science Product:WBC Diluting,WBC Diluting Fluid 500ml,Inventory Part,,, 340.20 ,0.00,0.00,0.00,bottle (bottle)
S.V Science Product:WBC Pipette,Boeco WBC Pipette,Inventory Part,,, 690.00 ,0.00,0.00,0.00,pc (pc)
S.V Science Product:YX-18LM (20S.01700),Jibimed YX-18LM Pressure Sterilizer  (20S.01700),Inventory Part,,," 35,000.00 ",0.00,0.00,0.00,unit (unit)
Sekisui Products,Sekisui Products,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
"Sekisui Products:ALB (906RTU(C), 2024-11-15)",Sekisui Norudia GA-ALB Coloring Sol 2,Inventory Part,906RTU(C),2024-11-15," 2,242.50 ",2.00,0.00,0.00,kit (kit)
"Sekisui Products:ALB (909RIU, 2024-11-21)",Sekisui Glycated Albumin Control,Inventory Part,909RIU,2024-11-21)," 4,485.00 ",2.00,0.00,0.00,kit (kit)
"Sekisui Products:Calib (827RIU, 2024-09-13)",Sekisui Nanopia KL-6 Calibrator,Inventory Part,827RIU,2024-09-13," 13,455.00 ",0.00,0.00,0.00,kit (kit)
"Sekisui Products:E-Control (817RJU, 2025-08-31)",Sekisui Nanopia E-Control,Inventory Part,817RJU,2025-08-31," 13,455.00 ",2.00,0.00,0.00,kit (kit)
"Sekisui Products:GA-ALB (906RTU(B), 2024-11-20)",Sekisui Norudia GA-ALB Buffer Sol 1,Inventory Part,(906RTU(B),2024-11-20," 2,242.50 ",2.00,0.00,0.00,kit (kit)
"Sekisui Products:GA-Calib (006RIU, 2024-11-21)",Sekisui Norudia GA-Calibrator,Inventory Part,006RIU,2024-11-21," 4,485.00 ",2.00,0.00,0.00,kit (kit)
"Sekisui Products:GASol1 (906RTU(1), 2024-11-20)",Sekisui Norudia GA-GA Enzyme Sol 1 40mlx2,Inventory Part,906RTU(1),2024-11-20," 6,727.50 ",2.00,0.00,0.00,kit (kit)
"Sekisui Products:GASol2 (906RTU(2), 2024-11-15)",Sekisui Norudia GA-GA Enzyme Sol 2 40mlx2,Inventory Part,906RTU(2),2024-11-15," 6,727.50 ",2.00,0.00,0.00,kit (kit)
"Sekisui Products:R1 (914RLT(1), 2025-02-01)",Sekisui Nanopia KL-6 Reagent 1,Inventory Part,(914RLT(1),2025-02-01," 31,395.00 ",2.00,0.00,0.00,kit (kit)
"Sekisui Products:R2 (914RLT(2), 2025-02-01)",Sekisui Nanopia KL-6 Reagent 2,Inventory Part,914RLT(2),2025-02-01," 44,850.00 ",2.00,0.00,0.00,kit (kit)
"Sekisui Products:Sekisui AST (62882, 2023-12-09)",Sekisui AST 375ml,Inventory Part,62882,2023-12-09," 3,900.00 ",0.00,0.00,0.00,kit (kit)
"Sekisui Products:Sksui Alb (60795, 2024-09-30)",Sekisui Albumin 500ml,Inventory Part,60795,2024-09-30," 1,885.00 ",0.00,0.00,0.00,kit (kit)
"Sekisui Products:Sksui ALT (62879, 2023-12-09)",Sekisui ALT 375ml,Inventory Part,62879,2023-12-09," 3,900.00 ",0.00,0.00,0.00,kit (kit)
"Sekisui Products:Sksui Crea (62301, 2025-04-30)",Sekisui Creatinine Jaffe 750ml,Inventory Part,62301,2025-04-30," 2,600.00 ",33.00,0.00,0.00,kit (kit)
"Sekisui Products:Sksui DCCal (59736, 2024-07-31)",Sekisui DC-Cal Calibration 5x3ml,Inventory Part,59736,2024-07-31," 11,700.00 ",0.00,0.00,0.00,kit (kit)
"Sekisui Products:Sksui DCTrl (59733, 2024-08-31)",Sekisui  DC-Trol L1&2 Multi-Analyte 5x5ml,Inventory Part,59733,2024-08-31," 7,475.00 ",0.00,0.00,0.00,kit (kit)
"Sekisui Products:Sksui Glu (63016, 2024-02-29)",Sekisui Glucose 200ml,Inventory Part,63016,2024-02-29," 1,040.00 ",0.00,0.00,0.00,kit (kit)
"Sekisui Products:Sksui TP (61229, 2024-11-30)",Sekisui Total Protein 500ml,Inventory Part,61229,2024-11-30," 2,275.00 ",9.00,0.00,0.00,kit (kit)
"Sekisui Products:Sksui UA (62111, 2023-10-31)",Sekisui Uric Acid 200ml,Inventory Part,62111,2023-10-31," 2,470.00 ",0.00,0.00,0.00,kit (kit)
"Sekisui Products:Sksui Urea (62942, 2023-08-31)",Sekisui Urea 180ml,Inventory Part,62942,2023-08-31," 3,022.50 ",0.00,0.00,0.00,kit (kit)
Service Products,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
Service Products:2-way Solenoid Valve,Mindray BC3000 2-way Solenoid Valve - WAGGING PHILS.,Inventory Part,,, 0.00 ,1.00,0.00,0.00,pc (pc)
Service Products:Defective Items,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
Service Products:Defective Items:ISE-I07 (20150609),DH Reference Electrode (20150609),Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Service Products:Defective Items:ISE-I07 (709211),DH Reference Electrode (709211),Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Service Products:E9 (31177136),Uniper i-Magic E9 Fully Automated Chemistry Analyzer (31177136) UNDER REFURBISHED,Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Service Products:RF CARD READER,Uniper DF51 RF Card Reader,Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Service Products:Service Equipment,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
Service Products:Service Equipment:BC-5180 (RG-113100473),Mindray BC5180 Hematology Analyzer,Inventory Part,RG-113100473 - REFURBISHED,, 0.00 ,0.00,0.00,0.00,unit (unit)
Service Products:Service Equipment:BC3000 (Start-up Kit),Mindray BC3000 Start-up Kit,Inventory Part,,, 0.00 ,0.00,0.00,0.00,kit (kit)
Service Products:Service Equipment:BC3000Plus (RJ8B102443),Mindray BC3000 Plus Hematology Analyzer,Inventory Part,RJ8B102443 - BEYOND REPAIR,, 0.00 ,0.00,0.00,0.00,unit (unit)
Service Products:Service Equipment:BTS-310 (801543086),Biosystems BTS-310Plus Chemistry Analyzer (801543086),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Service Products:Service Equipment:Chem2910 (2910-2501),Chemwell 2910 (2910-2501) - beyond REFURBISHED,Inventory Part,2910-2501,, 0.00 ,1.00,0.00,0.00,unit (unit)
Service Products:Service Equipment:Chem2910 (2910-3183),Chemwell 2910 (2910-3183) - beyond repair,Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Service Products:Service Equipment:Digi Water Bath (0208009),Digisystem Water Bath  (0208009),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Service Products:Service Equipment:E7 (311668835),Render E7 - OLD,Inventory Part,311668835 - OLD,, 0.00 ,1.00,0.00,0.00,
Service Products:Service Equipment:E9 (31177134),Uniper i-Magic E9 Fully Automated Chemistry Analyzer (31177134),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Service Products:Service Equipment:Geniu KT6400(0750907130105),Genius KT6400 (0750907130105) DEFECTIVE Main Board (HGB RDG.),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Service Products:Service Equipment:IChem-520 (21130823),Icubio Ichem520 Chemistry Analyzer,Inventory Part,21130823 - OLD UNIT,, 0.00 ,1.00,0.00,0.00,unit (unit)
Service Products:Service Equipment:Icon3 (ND30H14072)-For repair,Norma Icon3 Hematology Analyzer (ND30H14072),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Service Products:Service Equipment:ISE (2297),Convergys ISE Comfort Electrolyte Analyzer (2297) for REPAIR (Marikina Valley),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Service Products:Service Equipment:KT6180 (0770317171686),Render KT6180 Hematology Analyzer,Inventory Part,0770317171686 - OLD UNIT,FROM DAVAO, 0.00 ,1.00,0.00,0.00,unit (unit)
Service Products:Service Equipment:KT6400 (0705107171593),Uniper KT6400  (0705107171593) - No power supply,Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Service Products:Service Equipment:KT6400 (0750907130106),Genius KT6400 (0750907130106) - For Repair,Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Service Products:Service Equipment:Maplab (40526),Maplab (40526) - beyond repair,Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Service Products:Service Equipment:PA50(1101013141709),Render PA50 Special Protein Analyzer (1101013141709) OLD,Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Service Products:Service Equipment:PC Set (KPPH31AW1931),"Computer Set (CPU, Keyboard and Monitor)",Inventory Part,,," 20,000.00 ",0.00,0.00,0.00,unit (unit)
Service Products:Service Equipment:PC Set (KPPH51A00813),"Computer Set (CPU, Keyboard and Monitor)",Inventory Part,,," 15,300.00 ",22.00,3.00,0.00,unit (unit)
Service Products:Service Equipment:Service E9(31177136),Uniper E9 Fully Automated Chemistry Analyzer SN: 31177136,Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Service Products:Service Equipment:Stat2600 (2600-8146),"Statfax 2600 Elisa Washer (2600-8146) ""Old""",Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Service Products:Service Equipment:Stat303 (303-13262),"Statfax 303 Plus (303-13262) ""Old""",Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Service Products:Service Parts,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
Service Products:Service Parts:ALS2000 (1932-1186),ALS 2000 w/ Plug,Inventory Part,1932-1186 - NO LAMP & RAM,, 0.00 ,1.00,0.00,0.00,pc (pc)
Service Products:Service Parts:DH505 Power Switch,DH 505 Power Switch with Line Filter,Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Service Products:Service Parts:Flow Cell,Uniper WP21B Flowcell,Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Service Products:Service Parts:KT-6400 Power Supply,KT-6400 Power Supply,Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
